gene,C1,C1_logFC,C1_FDR,C2,C2_logFC,C2_FDR,C3,C3_logFC,C3_FDR,module
AKT3,UP,2.25705681790167,4.50498133325713e-06,NS,0.47651865435758,0.494600898330243,NS,-0.116145104451409,0.807014218075925,C1 SPECIFIC
ALAD,DOWN,-1.04504791103047,4.55609715807819e-05,NS,-0.369075229105774,0.355174581930292,NS,-0.136297220544461,0.597867018500359,DOWN IN LIMBUS
ALCAM,UP,1.78664553549817,0.0086706419108223,NS,-0.551892782692466,0.726099465193472,NS,-1.06080399885113,0.214529074655315,C1 SPECIFIC
ALDH1A1,DOWN,-1.73130464906154,0.001397830330261,NS,0.484296431679573,0.662938153664533,NS,1.11169257025801,0.0845553663973227,DOWN IN LIMBUS
ALDH1A3,UP,1.40975419672064,0.0111805907162349,NS,-1.39042202939446,0.213255571077987,DOWN,-2.33153230626468,0.005106448558742,C1 SPECIFIC
ALDH1L1,UP,1.07966152467096,0.0061456461916554,NS,-0.578746655542471,0.483311867345142,NS,0.352636996939967,0.485434249713373,C1 SPECIFIC
ALDH2,NS,0.796182297170281,0.0250699112477967,NS,0.114118651922164,0.917296440900262,UP,1.90036987933575,0.0013826866139598,C3 SPECIFIC
ALDH3A1,DOWN,-2.48008739908475,0.0003333560988886,NS,0.602235517024447,0.642162756761894,UP,1.89362652993103,0.0202979550905759,C3 SPECIFIC
ALDH4A1,UP,1.03930673821467,0.0020563575537181,NS,0.85301572656224,0.177584601806031,UP,1.02362470900928,0.019870217864871,SHARED C1 & C3
ALDH7A1,NS,-0.697998130677657,0.0033629470654384,NS,0.307167427896085,0.53254171633951,UP,1.10507654211501,0.0019691545424492,C3 SPECIFIC
ALOX15B,NS,-0.237874120616433,0.372424729572986,UP,1.17961203472895,0.0396188767988427,NS,-0.699239035338167,0.0648146154905021,C2 SPECIFIC
ALOX5,UP,2.19986693723818,0.0080413386685353,NS,-1.49300802914859,0.377794187653836,NS,0.395435069509611,0.734589438090328,C1 SPECIFIC
