"","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"TGFA","TGFA",-2.85786752225815,5.77021814787765,-11.3104198911954,7.70488587058805e-09,1.2328844711057e-05,10.4729439327254,"Down"
"CTSF","CTSF",1.39326973228745,8.63931844238122,11.2001171818242,8.81746125888654e-09,1.32272940709872e-05,10.3516785493677,"Up"
"JAM2","JAM2",2.06676135568681,4.67524005853873,10.9156244292847,1.25478429361253e-08,1.67318514529378e-05,10.0330663837562,"Up"
"XM_006724037","XM_006724037",2.06676135568681,4.67524005853873,10.9156244292847,1.25478429361253e-08,1.67318514529378e-05,10.0330663837562,"Up"
"NID1","NID1",2.54622102792761,7.59993401350099,10.72795999829,1.58991511397104e-08,2.00848118765962e-05,9.81818466824401,"Up"
"DSG2","DSG2",-2.37423090789489,6.38117075258064,-10.2391083638387,2.99146638540306e-08,3.59005880912221e-05,9.24022341853603,"Down"
"LAMA4","LAMA4",2.16261333657404,6.16574050022651,10.0854626635518,3.66634273514568e-08,4.02927752991757e-05,9.0529691454695,"Up"
"PTGFR","PTGFR",2.45053622353973,5.18455174332097,10.0466575510822,3.86106921040347e-08,4.02927752991757e-05,9.00524157596051,"Up"
"XR_426624","XR_426624",2.45053622353973,5.18455174332097,10.0466575510822,3.86106921040347e-08,4.02927752991757e-05,9.00524157596051,"Up"
"PPBP","PPBP",-2.35375489482404,3.6224582175408,-9.53786807659023,7.71883770681344e-08,7.71948094328901e-05,8.3628605994173,"Down"
"DDR2","DDR2",2.92388760443128,7.59877581053048,9.46748956042271,8.51317025709121e-08,7.85896586579628e-05,8.27152074406351,"Up"
"XM_006711345","XM_006711345",2.92388760443128,7.59877581053048,9.46748956042271,8.51317025709121e-08,7.85896586579628e-05,8.27152074406351,"Up"
"ITGB4","ITGB4",-2.27374438006585,4.89929952289584,-9.29720561160578,1.08137057457652e-07,9.60917310102315e-05,8.04795960854952,"Down"
"CTSC","CTSC",-1.76209944437464,7.67871109742569,-9.27179051268066,1.12097678038767e-07,9.60917310102315e-05,8.01427929861314,"Down"
"ADGRD1","ADGRD1",2.09323738404369,5.04559907405745,9.12988777753019,1.3721083111469e-07,0.000113563254083268,7.82471504580372,"Up"
"CTSK","CTSK",1.7104197106941,9.27299677846488,9.0096607609642,1.63129069682487e-07,0.000126255074223643,7.66207886705006,"Up"
"MMP2","MMP2",2.11571990258637,8.66413695921714,8.99642587979738,1.66282442722832e-07,0.000126255074223643,7.64406080262367,"Up"
"PLXND1","PLXND1",1.83374445601196,7.26638293821005,8.9879891675754,1.68326071792208e-07,0.000126255074223643,7.63256307595175,"Up"
"HACD1","HACD1",1.42660404565321,5.10452310232078,8.9088004880155,1.88849580954552e-07,0.000131130139133252,7.52418908573237,"Up"
"XR_428651","XR_428651",1.42660404565321,5.10452310232078,8.9088004880155,1.88849580954552e-07,0.000131130139133252,7.52418908573237,"Up"
"CWH43","CWH43",-3.03470276021972,3.64397582124485,-8.90026014081905,1.91215518276137e-07,0.000131130139133252,7.51245198715955,"Down"
"LAMA2","LAMA2",2.0746439816929,6.95682575611766,8.86441190253558,2.01492585573022e-07,0.000134339584414546,7.46308049726498,"Up"
"MRGPRF","MRGPRF",1.95537655414269,5.83872706913365,8.80826971050638,2.18773487523907e-07,0.000141918952636454,7.38541810844273,"Up"
"LDB2","LDB2",3.07710875721664,5.50914486618213,8.68968278037494,2.6061412548973e-07,0.000160391288205243,7.2199965247267,"Up"
"XM_006713979","XM_006713979",3.07710875721664,5.50914486618213,8.68968278037494,2.6061412548973e-07,0.000160391288205243,7.2199965247267,"Up"
"SERPINF1","SERPINF1",2.41883354593507,10.9189305908769,8.55012523379437,3.2089011917447e-07,0.000189563416214006,7.02290266374385,"Up"
"FBLN2","FBLN2",1.74231207601446,8.20014047065937,8.51755570155552,3.36967303313368e-07,0.000189563416214006,6.9765256915189,"Up"
"ADAMTS5","ADAMTS5",3.1918223172572,5.00749950439944,8.5136915835427,3.38930253952336e-07,0.000189563416214006,6.97101384310225,"Up"
"WNT2B","WNT2B",1.28148929468729,5.64240377326927,8.51236650812042,3.396061535373e-07,0.000189563416214006,6.96912326261559,"Up"
"MATN2","MATN2",2.33475318764387,9.88457711286704,8.48964893524045,3.51417369397806e-07,0.000191698175006503,6.9366732029017,"Up"
"TGFBR3","TGFBR3",2.50443472384327,9.90577027975667,8.45277841142647,3.7151632343338e-07,0.000198158551001067,6.88385674095154,"Up"
"COL3A1","COL3A1",3.06314843448731,6.24673567396675,8.4297768165706,3.84664893522012e-07,0.000200711451615551,6.85081296590931,"Up"
"TAGLN","TAGLN",2.67808327081019,7.31129126890792,8.31269574655718,4.59617151719388e-07,0.000234454148828933,6.6814867354017,"Up"
"TMEM204","TMEM204",1.59549024564347,7.91571824763763,8.2901950834009,4.75704213581896e-07,0.000234454148828933,6.64872837877401,"Up"
"RHOJ","RHOJ",2.18671541211454,4.97096982087593,8.24769135520247,5.07730460933275e-07,0.000234454148828933,6.58665584183473,"Up"
"XR_245708","XR_245708",2.18671541211454,4.97096982087593,8.24769135520247,5.07730460933275e-07,0.000234454148828933,6.58665584183473,"Up"
"XR_245709","XR_245709",2.18671541211454,4.97096982087593,8.24769135520247,5.07730460933275e-07,0.000234454148828933,6.58665584183473,"Up"
"ZEB2","ZEB2",2.82599520829175,5.01173071916677,8.20648002812918,5.4095441420844e-07,0.000234454148828933,6.52623025235988,"Up"
"CACNA2D1","CACNA2D1",2.04302767947077,6.21321882744542,8.18224914218078,5.61549641439015e-07,0.000234454148828933,6.49059117274846,"Up"
"TMEM156","TMEM156",-1.86473299451474,3.59013082226674,-8.1768003097638,5.66293492748873e-07,0.000234454148828933,6.48256563829141,"Down"
"XM_005262670","XM_005262670",-1.86473299451474,3.59013082226674,-8.1768003097638,5.66293492748873e-07,0.000234454148828933,6.48256563829141,"Down"
"RPS6KA1","RPS6KA1",-1.39388353449994,7.65379813179825,-8.17650669378669,5.66550313810438e-07,0.000234454148828933,6.48213305588085,"Down"
"XM_005245966","XM_005245966",-1.39388353449994,7.65379813179825,-8.17650669378669,5.66550313810438e-07,0.000234454148828933,6.48213305588085,"Down"
"XM_005245967","XM_005245967",-1.39388353449994,7.65379813179825,-8.17650669378669,5.66550313810438e-07,0.000234454148828933,6.48213305588085,"Down"
"SLIT3","SLIT3",1.91988449944325,5.06695129028636,8.14146211919538,5.9810061539133e-07,0.00023951424377537,6.43041523229968,"Up"
"PI3","PI3",-3.11570932792487,5.64703999045882,-8.08673743961383,6.51116937607296e-07,0.00023951424377537,6.34930856172084,"Down"
"CCL20","CCL20",-2.22896906687629,4.16717509658916,-8.08609856948902,6.51764268356861e-07,0.00023951424377537,6.34835920816297,"Down"
"PDGFRB","PDGFRB",2.52350047708033,6.97716776288812,8.0851018366018,6.52775552702244e-07,0.00023951424377537,6.34687795963196,"Up"
"FBLN5","FBLN5",2.72672366673617,7.24526604030429,8.08314721186895,6.5476350592317e-07,0.00023951424377537,6.34397277713336,"Up"
"XM_005267267","XM_005267267",2.72672366673617,7.24526604030429,8.08314721186895,6.5476350592317e-07,0.00023951424377537,6.34397277713336,"Up"
"LAMC2","LAMC2",-3.73997780126219,5.48171243283669,-8.07938355450226,6.58609286275079e-07,0.00023951424377537,6.33837728783544,"Down"
"XM_006711316","XM_006711316",-3.73997780126219,5.48171243283669,-8.07938355450226,6.58609286275079e-07,0.00023951424377537,6.33837728783544,"Down"
"PRSS22","PRSS22",-1.6004564203706,6.73392741609672,-8.04525960703895,6.94580978421066e-07,0.00024516665653033,6.28755329330738,"Down"
"XM_006720915","XM_006720915",-1.6004564203706,6.73392741609672,-8.04525960703895,6.94580978421066e-07,0.00024516665653033,6.28755329330738,"Down"
"TLR4","TLR4",1.76900748272006,4.36390424711397,8.00352000778219,7.41409183379955e-07,0.000247513119795655,6.22516234600391,"Up"
"ZEB1","ZEB1",2.25390222206776,7.61428196451441,8.00243577221221,7.4266893635172e-07,0.000247513119795655,6.22353837276063,"Up"
"ITGB6","ITGB6",-3.40260080852674,8.94839750155604,-8.00209209385238,7.43068719225495e-07,0.000247513119795655,6.22302357480651,"Down"
"F2RL2","F2RL2",3.59991402763159,4.88327688008839,7.99850874333586,7.47250541201384e-07,0.000247513119795655,6.21765505214734,"Up"
"AEBP1","AEBP1",2.71354858382843,8.72212629075742,7.99379464489988,7.52789673572321e-07,0.000247513119795655,6.21058968053453,"Up"
"COL14A1","COL14A1",2.58367662911177,4.78174653721212,7.98341104005328,7.65143330988482e-07,0.000248175273383588,6.19501585232506,"Up"
"PDGFRA","PDGFRA",2.98511707926186,8.90822643016085,7.97194713283602,7.79030089760707e-07,0.000249310402859153,6.17780392001936,"Up"
"PRKD1","PRKD1",2.37577517613946,5.54435844354662,7.9481078670879,8.08762707777022e-07,0.000250354528753752,6.14195167270013,"Up"
"FZD3","FZD3",-1.4575402088393,5.29064162808707,-7.94614557937309,8.11262647909304e-07,0.000250354528753752,6.13899694886957,"Down"
"CPXM2","CPXM2",3.18195658278753,9.5574450748555,7.94432882497765,8.1358441974805e-07,0.000250354528753752,6.13626087287588,"Up"
"SVEP1","SVEP1",3.92414238811223,7.5848324716215,7.92555081999737,8.37995470581298e-07,0.000254602117530283,6.10795314884759,"Up"
"NFIX","NFIX",1.73894101969923,8.59347122833904,7.90758233527509,8.62075510893841e-07,0.000258644205155925,6.08081861454666,"Up"
"GFRA1","GFRA1",1.31245891772699,5.24258895462977,7.87341370479511,9.0989363336158e-07,0.000262146517138701,6.0290925053685,"Up"
"ITGA6","ITGA6",-1.24694210403086,7.91830635034159,-7.86874264468841,9.16644065710858e-07,0.000262146517138701,6.02200823529851,"Down"
"PNLIPRP3","PNLIPRP3",-3.4295297828295,4.59022939063071,-7.86554548890132,9.21294786120312e-07,0.000262146517138701,6.0171575291024,"Down"
"EFHD2","EFHD2",-1.2708579742827,8.08972392117922,-7.86482301725071,9.22349154273747e-07,0.000262146517138701,6.01606119622652,"Down"
"PRELP","PRELP",3.4056660022103,8.19499739015346,7.86072199382348,9.28358218348035e-07,0.000262146517138701,6.00983657565904,"Up"
"LRAT","LRAT",-2.46398622324348,4.07051715770644,-7.84335715770812,9.54261671138745e-07,0.000263266535984737,5.98345310816424,"Down"
"XM_006714412","XM_006714412",-2.46398622324348,4.07051715770644,-7.84335715770812,9.54261671138745e-07,0.000263266535984737,5.98345310816424,"Down"
"NNMT","NNMT",2.88941311235819,8.5641424933878,7.79228082932495,1.03494887638039e-06,0.00028228230603275,5.90559841527489,"Up"
"GIPC1","GIPC1",-0.918681086912953,9.18715839348702,-7.75277627277345,1.10225716931056e-06,0.000294381350086732,5.84512453071162,"NS"
"GHR","GHR",1.56824876649108,6.98553950270493,7.75187913212469,1.10383807631889e-06,0.000294381350086732,5.84374856399739,"Up"
"RGL1","RGL1",2.09834518437084,7.49453364959758,7.73355900678387,1.13664727633322e-06,0.000299800087104943,5.8156250873539,"Up"
"MBOAT2","MBOAT2",-2.28752357279354,7.3299083145914,-7.70377333761715,1.19219400227902e-06,0.000307688606910764,5.76979701405831,"Down"
"XR_241248","XR_241248",-2.28752357279354,7.3299083145914,-7.70377333761715,1.19219400227902e-06,0.000307688606910764,5.76979701405831,"Down"
"MISP","MISP",-1.19487294355091,7.19078175643344,-7.67666994644367,1.24521744436024e-06,0.000317954352122708,5.727984133349,"Down"
"PLA2G7","PLA2G7",-1.99413558828789,4.36380404509357,-7.66853941811096,1.26160193502373e-06,0.000318747048888837,5.71542023427579,"Down"
"FIBIN","FIBIN",3.0098416424653,8.25138203159628,7.64338496914132,1.31374151602642e-06,0.000328462748621523,5.67648886782618,"Up"
"CBLC","CBLC",-1.46605461184496,7.28438643827436,-7.59974913479175,1.40962520237998e-06,0.000348802310386849,5.60873555386712,"Down"
"OSBPL3","OSBPL3",-1.19086423052444,7.83300794287469,-7.50077469577637,1.65536648265755e-06,0.000405429656293332,5.45402760075099,"Down"
"DEPTOR","DEPTOR",1.52235487814393,6.74734349624913,7.48693947597183,1.69314469268668e-06,0.000410493524382482,5.43228735555859,"Up"
"KLK7","KLK7",-3.14497754591117,5.76715704909093,-7.47676862938644,1.72149329763213e-06,0.000413192821297664,5.41628727945682,"Down"
"HNF4G","HNF4G",-1.52944387574038,4.50305677648923,-7.44651251591522,1.80880649215157e-06,0.00042985122202596,5.36860060693228,"Down"
"MARVELD2","MARVELD2",-1.65253003335996,4.94632341782792,-7.40510451826937,1.93590088964162e-06,0.000451121292749302,5.30311919604132,"Down"
"XM_005276758","XM_005276758",-1.65253003335996,4.94632341782792,-7.40510451826937,1.93590088964162e-06,0.000451121292749302,5.30311919604132,"Down"
"CCNA1","CCNA1",-2.34203449293955,4.54170092604685,-7.38905896379793,1.98763752851217e-06,0.000458723807301434,5.27767732073899,"Down"
"PDGFD","PDGFD",2.268719538946,9.28954198010488,7.36786414722243,2.0582097481219e-06,0.00046630192651667,5.24401255344827,"Up"
"TNS2","TNS2",1.57650841798649,6.83350945934671,7.36753430352628,2.0593285647349e-06,0.00046630192651667,5.24348812263248,"Up"
"EYA4","EYA4",1.86577975779709,3.75869850750268,7.31910647196525,2.23071929040269e-06,0.000482212485004635,5.16631648511086,"Up"
"XM_005266852","XM_005266852",1.86577975779709,3.75869850750268,7.31910647196525,2.23071929040269e-06,0.000482212485004635,5.16631648511086,"Up"
"SLC37A2","SLC37A2",-1.30296021094651,6.1195099233333,-7.30736403187896,2.27448831921089e-06,0.000482212485004635,5.14755221111453,"Down"
"PRKCZ","PRKCZ",-1.01930580752671,8.68837386115363,-7.3031753312685,2.29031844390169e-06,0.000482212485004635,5.14085378103928,"Down"
"XM_006710764","XM_006710764",-1.01930580752671,8.68837386115363,-7.3031753312685,2.29031844390169e-06,0.000482212485004635,5.14085378103928,"Down"
"XM_006710766","XM_006710766",-1.01930580752671,8.68837386115363,-7.3031753312685,2.29031844390169e-06,0.000482212485004635,5.14085378103928,"Down"
"XM_006710767","XM_006710767",-1.01930580752671,8.68837386115363,-7.3031753312685,2.29031844390169e-06,0.000482212485004635,5.14085378103928,"Down"
"XM_006710768","XM_006710768",-1.01930580752671,8.68837386115363,-7.3031753312685,2.29031844390169e-06,0.000482212485004635,5.14085378103928,"Down"
"COL4A1","COL4A1",2.36422264657668,6.42769500140319,7.26964809699177,2.42126460346738e-06,0.000505349504455862,5.08714450445032,"Up"
"CEP126","CEP126",1.70818001689018,4.58860413678448,7.26058405302338,2.45799688995407e-06,0.000508593459936875,5.07259566425873,"Up"
"C1R","C1R",2.82883146247363,8.96212486899664,7.25104120415713,2.49730137252702e-06,0.000512309637123021,5.05726511949951,"Up"
"WNT7A","WNT7A",-2.11395360303657,5.85050413727866,-7.236141410777,2.55999221743844e-06,0.000516760897804983,5.03330164822487,"Down"
"SAMD9","SAMD9",-1.99049889437639,7.00937304638822,-7.22951277759275,2.5884102441899e-06,0.000516760897804983,5.02263016677355,"Down"
"RECK","RECK",2.439505270077,8.19402674696289,7.21744116798978,2.64101574488151e-06,0.000516760897804983,5.00317923928541,"Up"
"LRRN4CL","LRRN4CL",1.83383542293811,7.5238518567397,7.21342878789594,2.6587479529207e-06,0.000516760897804983,4.99670931707586,"Up"
"CYRIB","CYRIB",-0.805665364866964,3.11046355883641,-7.20614913037023,2.691238739506e-06,0.000516760897804983,4.98496483606582,"NS"
"NR_046359","NR_046359",-0.805665364866964,3.11046355883641,-7.20614913037023,2.691238739506e-06,0.000516760897804983,4.98496483606582,"NS"
"NR_046360","NR_046360",-0.805665364866964,3.11046355883641,-7.20614913037023,2.691238739506e-06,0.000516760897804983,4.98496483606582,"NS"
"NR_046361","NR_046361",-0.805665364866964,3.11046355883641,-7.20614913037023,2.691238739506e-06,0.000516760897804983,4.98496483606582,"NS"
"ACSS3","ACSS3",1.88109829626736,6.56443304260672,7.17215029824446,2.8485869411149e-06,0.000526385141062296,4.93000921922274,"Up"
"XM_006719601","XM_006719601",1.88109829626736,6.56443304260672,7.17215029824446,2.8485869411149e-06,0.000526385141062296,4.93000921922274,"Up"
"CYP2U1","CYP2U1",1.02248309529701,6.90193736845971,7.168081869708,2.8680515051972e-06,0.000526385141062296,4.92342150406132,"Up"
"ANXA9","ANXA9",-1.98741692474263,5.31135615386608,-7.16061301031977,2.90414833599476e-06,0.000526385141062296,4.911321302289,"Down"
"XM_005245539","XM_005245539",-1.98741692474263,5.31135615386608,-7.16061301031977,2.90414833599476e-06,0.000526385141062296,4.911321302289,"Down"
"C1S","C1S",2.94021016144888,9.89285713634072,7.153095015966,2.94096361847472e-06,0.000526385141062296,4.89913311146118,"Up"
"XM_005253760","XM_005253760",2.94021016144888,9.89285713634072,7.153095015966,2.94096361847472e-06,0.000526385141062296,4.89913311146118,"Up"
"LPCAT4","LPCAT4",-1.3113664364473,6.76420254528503,-7.14961297008592,2.95818040453102e-06,0.000526385141062296,4.893485158698,"Down"
"XR_243087","XR_243087",-1.3113664364473,6.76420254528503,-7.14961297008592,2.95818040453102e-06,0.000526385141062296,4.893485158698,"Down"
"TSPAN1","TSPAN1",-1.91047638844689,10.2218117212327,-7.14850311064562,2.96369020954755e-06,0.000526385141062296,4.89168456353478,"Down"
"CRIM1","CRIM1",1.29194918800827,10.0963632493836,7.14034309960984,3.00453146927483e-06,0.000526385141062296,4.87844042875292,"Up"
"XR_426983","XR_426983",1.29194918800827,10.0963632493836,7.14034309960984,3.00453146927483e-06,0.000526385141062296,4.87844042875292,"Up"
"ZNF667-AS1","ZNF667-AS1",1.27794517082083,8.74405128792669,7.13391227887453,3.03713330229259e-06,0.000528241112475556,4.86799587395687,"Up"
"CD302","CD302",2.05588629715618,7.94737142111286,7.10746951937685,3.17513312293946e-06,0.00054827010947333,4.82498435315451,"Up"
"TWIST1","TWIST1",1.72659187080191,8.7491477856597,7.09162873270814,3.26093512878599e-06,0.000548574264510474,4.79916795868457,"Up"
"XM_006715769","XM_006715769",1.72659187080191,8.7491477856597,7.09162873270814,3.26093512878599e-06,0.000548574264510474,4.79916795868457,"Up"
"XR_428085","XR_428085",1.72659187080191,8.7491477856597,7.09162873270814,3.26093512878599e-06,0.000548574264510474,4.79916795868457,"Up"
"RAB30","RAB30",1.23217234799099,6.75359823005839,7.09028652711401,3.26831596637771e-06,0.000548574264510474,4.79697878982285,"Up"
"EPHB2","EPHB2",-1.05817157485898,5.04413316356527,-7.0797534180469,3.32684885240429e-06,0.000552246087571874,4.77978970980739,"Down"
"GNB4","GNB4",1.30561521970802,7.38374012523608,7.0780870996258,3.33620876168327e-06,0.000552246087571874,4.77706891232577,"Up"
"MIR492","MIR492",-2.06357525267957,5.90862725952709,-7.06438819551692,3.41421038778063e-06,0.000556094742479422,4.75468536349486,"Down"
"KRT19P2","KRT19P2",-2.06357525267957,5.90862725952709,-7.06438819551692,3.41421038778063e-06,0.000556094742479422,4.75468536349486,"Down"
"PLEK2","PLEK2",-2.38950911339661,7.88693763508935,-7.06183380161857,3.42896516485936e-06,0.000556094742479422,4.7505084707279,"Down"
"MREG","MREG",-1.35168076744033,7.17504713358568,-7.02108709257875,3.67357370317378e-06,0.00058597921492977,4.68374851661015,"Down"
"MICU3","MICU3",1.6078754130021,4.26547004696934,7.00740992034278,3.75971998580054e-06,0.00058597921492977,4.66128403646842,"Up"
"XM_006716331","XM_006716331",1.6078754130021,4.26547004696934,7.00740992034278,3.75971998580054e-06,0.00058597921492977,4.66128403646842,"Up"
"XM_006716334","XM_006716334",1.6078754130021,4.26547004696934,7.00740992034278,3.75971998580054e-06,0.00058597921492977,4.66128403646842,"Up"
"XR_428307","XR_428307",1.6078754130021,4.26547004696934,7.00740992034278,3.75971998580054e-06,0.00058597921492977,4.66128403646842,"Up"
"XR_428309","XR_428309",1.6078754130021,4.26547004696934,7.00740992034278,3.75971998580054e-06,0.00058597921492977,4.66128403646842,"Up"
"CORO2A","CORO2A",-1.58994675284561,6.9820791695981,-7.00117462756439,3.79969268149347e-06,0.000588388540265847,4.65103341187328,"Down"
"ADM","ADM",2.14021455713878,12.3680808225966,6.99294323794262,3.85314433710756e-06,0.000592840835764459,4.63749236309111,"Up"
"CNTN3","CNTN3",2.95070675463703,8.3532119883857,6.98613408749575,3.89795526026293e-06,0.000595915427750516,4.62628331016478,"Up"
"KCNE4","KCNE4",3.12744444365153,6.2977536508031,6.97090598896437,4.00015691065631e-06,0.000607669406136537,4.60119009358256,"Up"
"KRT23","KRT23",-2.8310806621448,7.00759266761875,-6.96307827808115,4.05377951032955e-06,0.000610698324422111,4.58827790612121,"Down"
"MYH16","MYH16",-1.049691258887,3.33051197017549,-6.95475355847412,4.11163314486727e-06,0.000610698324422111,4.5745358163165,"Down"
"PCDH18","PCDH18",2.44907070552013,6.78131680877891,6.94014389772277,4.21526347352539e-06,0.000610698324422111,4.55039373638822,"Up"
"OCIAD2","OCIAD2",-1.69192137426533,10.2994049072339,-6.93989182710124,4.21707528361526e-06,0.000610698324422111,4.54997691587926,"Down"
"MMP9","MMP9",-2.71517277726633,6.31674171860919,-6.93976635934499,4.21797741303545e-06,0.000610698324422111,4.54976944057874,"Down"
"ADGRL4","ADGRL4",2.93509588503465,5.02401273040663,6.93949813008095,4.21990669371322e-06,0.000610698324422111,4.54932588487343,"Up"
"CNTNAP3B","CNTNAP3B",-1.7750704486855,8.19785239662072,-6.93160018123246,4.27712985172447e-06,0.000610698324422111,4.53626066049417,"Down"
"CNTNAP3","CNTNAP3",-1.7750704486855,8.19785239662072,-6.93160018123246,4.27712985172447e-06,0.000610698324422111,4.53626066049417,"Down"
"CNTNAP3P2","CNTNAP3P2",-1.7750704486855,8.19785239662072,-6.93160018123246,4.27712985172447e-06,0.000610698324422111,4.53626066049417,"Down"
"XM_006716859","XM_006716859",-1.7750704486855,8.19785239662072,-6.93160018123246,4.27712985172447e-06,0.000610698324422111,4.53626066049417,"Down"
"CYTL1","CYTL1",3.22390099172869,8.57145492346405,6.92847783571417,4.29997570316377e-06,0.000610698324422111,4.53109292719553,"Up"
"CPA6","CPA6",-1.47783655913058,3.38320583632821,-6.92051498484368,4.35881902342356e-06,0.000615413965883602,4.51790715765468,"Down"
"LIPH","LIPH",-2.46366960180784,7.0843728502849,-6.90484393913383,4.47709838763713e-06,0.000626992451768305,4.49192956712889,"Down"
"ARHGEF6","ARHGEF6",1.47020251446522,6.9822767680848,6.89347905108067,4.56497447237214e-06,0.000626992451768305,4.47306719419697,"Up"
"FERMT1","FERMT1",-2.92272637616925,9.59644348838993,-6.88746172279424,4.61223090815376e-06,0.000626992451768305,4.46307236175541,"Down"
"BMP4","BMP4",1.7029529407332,6.7352702936176,6.88617255367223,4.62242167262804e-06,0.000626992451768305,4.46093033530694,"Up"
"XM_005268015","XM_005268015",1.7029529407332,6.7352702936176,6.88617255367223,4.62242167262804e-06,0.000626992451768305,4.46093033530694,"Up"
"PRRX1","PRRX1",2.77803938916406,9.6817373495892,6.8857167039069,4.62603075935126e-06,0.000626992451768305,4.46017285587284,"Up"
"TMC7","TMC7",-1.41752248797035,3.70017601580226,-6.88281395480733,4.64908188695366e-06,0.000626992451768305,4.45534866611992,"Down"
"BAK1","BAK1",-1.1124070009199,7.35777468694224,-6.88202190307482,4.65539252584507e-06,0.000626992451768305,4.45403210575257,"Down"
"TAGLN3","TAGLN3",-1.7940015633193,5.45694837173469,-6.87945210839282,4.67592904201844e-06,0.000626992451768305,4.44975990675952,"Down"
"PLCL2","PLCL2",1.93030575730568,5.27036721066426,6.86472887854109,4.79543127673455e-06,0.000639444119467681,4.42526394064083,"Up"
"KLK6","KLK6",-2.33162447196908,5.54957562568229,-6.85733922502047,4.85661017026686e-06,0.000644024073517929,4.41295706024736,"Down"
"TMPRSS11B","TMPRSS11B",-1.76582267362929,3.57054016338327,-6.84859506843739,4.93005926450452e-06,0.000650171881684822,4.39838378727737,"Down"
"ANGPT1","ANGPT1",3.18424352813303,4.16144049138222,6.83242863943194,5.06893055625777e-06,0.0006643055622662,4.3714101408313,"Up"
"XM_006716863","XM_006716863",-1.52208208870207,8.16440297126536,-6.82656997298943,5.12026202063357e-06,0.0006643055622662,4.36162529527018,"Down"
"XR_432407","XR_432407",-1.52208208870207,8.16440297126536,-6.82656997298943,5.12026202063357e-06,0.0006643055622662,4.36162529527018,"Down"
"CSF1","CSF1",1.02412898262895,6.42886960146725,6.8210750638513,5.16890063688112e-06,0.000664881161202403,4.35244330040123,"Up"
"FZD4","FZD4",1.11169434334238,7.08344566995598,6.81981740599398,5.18010070597656e-06,0.000664881161202403,4.35034111688924,"Up"
"ADAP1","ADAP1",-1.01273406043522,8.88191918352691,-6.81544912440287,5.21920003396495e-06,0.000666336378804397,4.34303766203763,"Down"
"IL1B","IL1B",-2.9327290777741,6.56189902757087,-6.80849135789085,5.28211580210891e-06,0.000670800759165175,4.33139886343527,"Down"
"LHFPL6","LHFPL6",1.77409699561795,8.96342272951801,6.76270869661239,5.71639151871496e-06,0.000718349891268044,4.2546335279767,"Up"
"XM_006719750","XM_006719750",1.77409699561795,8.96342272951801,6.76270869661239,5.71639151871496e-06,0.000718349891268044,4.2546335279767,"Up"
"ROBO2","ROBO2",1.79887266994789,7.46909642248403,6.75373403120359,5.80581273873618e-06,0.000722026514793502,4.23954853884389,"Up"
"XM_006713279","XM_006713279",1.79887266994789,7.46909642248403,6.75373403120359,5.80581273873618e-06,0.000722026514793502,4.23954853884389,"Up"
"ARNT2","ARNT2",1.18083777404959,5.45266399701807,6.74400977913697,5.90435555436067e-06,0.000730496608328685,4.22318997200968,"Up"
"SERPINB7","SERPINB7",-2.99685272586443,5.24361814123768,-6.72937592502238,6.05595972280432e-06,0.000745411001367945,4.19854551302278,"Down"
