"gene","logFC","direction","degree","degree_norm","betweenness","closeness","eigenvector","clustering_coeff","module","module_sz","MCC","degree_n","betweenness_n","closeness_n","eigenvector_n","MCC_n","hub_score","hub_rank","is_hub"
"ANGPT1",3.14120290651092,"Up",17,0.0197444831591173,0.00737477964383749,0.285004965243297,0.208123515022225,0.375,10,50,289,0.179775280898876,0.0406215873513377,0.700684701637595,0.208123508521644,0.0355599456723052,0.232953004816352,82,FALSE
"POSTN",6.18697360200037,"Up",18,0.0209059233449477,0.00242979062416317,0.274378585086042,0.262576988533782,0.549019607843137,2,91,324,0.191011235955056,0.0133837154263155,0.656756116557105,0.262576982480213,0.039881466847759,0.23272190345329,83,FALSE
"MMP1",3.7815808613715,"Up",14,0.016260162601626,0.0015685881945921,0.291469194312796,0.253854329091993,0.516483516483517,1,120,196,0.146067415730337,0.00864006050921733,0.727407295075532,0.25385432296682,0.0240770465489567,0.232009228166173,84,FALSE
"ITGA9",1.55072230065235,"Up",16,0.0185830429732869,0.00093653919308801,0.279908972691808,0.256677448093571,0.583333333333333,2,91,256,0.168539325842697,0.00515862310160901,0.679618285882197,0.256677441991573,0.0314853685640202,0.228295809076419,85,FALSE
"ANGPT2",1.74925161917396,"Up",15,0.0174216027874564,0.00061589427544713,0.290976681311254,0.225785389312905,0.495238095238095,10,50,225,0.157303370786517,0.00339245432643814,0.725371286672734,0.225785382957311,0.0276577355229041,0.227902046053181,86,FALSE
"C3",4.38013678691779,"Up",19,0.0220673635307782,0.0164328751556317,0.27711618925008,0.127055978212207,0.175438596491228,1,120,361,0.202247191011236,0.0905151754772661,0.668073147912751,0.127055971046135,0.0444499320903815,0.226468283507554,87,FALSE
"HSPG2",1.64033981345118,"Up",18,0.0209059233449477,0.00253228388061757,0.274116523400191,0.2293779476919,0.339869281045752,2,91,324,0.191011235955056,0.0139482663649276,0.655672775015311,0.229377941365798,0.039881466847759,0.22597833710977,88,FALSE
"CCL19",1.61785584513451,"Up",16,0.0185830429732869,0.000450895835440797,0.276315789473684,0.238950717282194,0.666666666666667,1,120,256,0.168539325842697,0.00248361380953505,0.664764360804111,0.238950711034675,0.0314853685640202,0.221244676011008,89,FALSE
"NID1",3.72413819531546,"Up",17,0.0197444831591173,0.00057649993070139,0.271951989892609,0.238523921516236,0.441176470588235,2,91,289,0.179775280898876,0.00317546332555109,0.646724770808773,0.238523915265214,0.0355599456723052,0.220751875194144,90,FALSE
"FGFR3",-1.15500497997239,"Down",18,0.0209059233449477,0.00340688459335719,0.275961538461538,0.178952594262364,0.215686274509804,10,50,324,0.191011235955056,0.0187657213894695,0.663299916139361,0.178952587522316,0.039881466847759,0.218382185570792,91,FALSE
