contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C1,Down,GO_BP,GO:0061180,mammary gland epithelium development,10/622,69/16355,2.643627544034394e-4,0.043138975270855334,0.04155797615402341,10,MSX2/WNT3/WNT7B/PTCH1/AREG/WNT4/IRF6/PERP/SOSTDC1/EPHA2
C1,Down,GO_BP,GO:0001843,neural tube closure,11/622,82/16355,2.6541228468115785e-4,0.043138975270855334,0.04155797615402341,11,FZD3/PTCH1/TRIM71/SDC4/GRHL3/SPINT2/COBL/TGFB2/CELSR1/SPINT1/ST14
C1,Down,GO_BP,GO:0035148,tube formation,15/622,140/16355,2.871168967733118e-4,0.04485096719581008,0.0432072253340617,15,HES5/FZD3/PTCH1/TRIM71/SDC4/WNT4/GRHL3/SPINT2/COBL/TGFB2/BCL2L11/CELSR1/SPINT1/ST14/BMP7
C1,Down,GO_BP,GO:0060606,tube closure,11/622,83/16355,2.9565568355840533e-4,0.04485096719581008,0.0432072253340617,11,FZD3/PTCH1/TRIM71/SDC4/GRHL3/SPINT2/COBL/TGFB2/CELSR1/SPINT1/ST14
C1,Down,GO_BP,GO:0072175,epithelial tube formation,14/622,127/16355,3.3804042093915035e-4,0.04848631753808719,0.04670934382174725,14,HES5/FZD3/PTCH1/TRIM71/SDC4/WNT4/GRHL3/SPINT2/COBL/TGFB2/CELSR1/SPINT1/ST14/BMP7
C1,Down,GO_BP,GO:0060669,embryonic placenta morphogenesis,6/622,26/16355,3.544811670879136e-4,0.04848631753808719,0.04670934382174725,6,WNT7B/GJB5/SPINT2/SPINT1/ST14/BMP7
C1,Down,GO_BP,GO:0010496,intercellular transport,4/622,10/16355,3.6223572759722355e-4,0.04848631753808719,0.04670934382174725,4,GJB2/GJB6/GJB4/GJA3
C1,Down,GO_BP,GO:0035871,protein K11-linked deubiquitination,4/622,10/16355,3.6223572759722355e-4,0.04848631753808719,0.04670934382174725,4,TNFAIP3/OTUD7A/OTUB2/YOD1
C1,Down,GO_BP,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,16/622,159/16355,3.734580426399366e-4,0.04856021577298148,0.04678053376226575,16,HES5/SYK/SEMA4D/INPP5F/AREG/RAP2B/CBLC/TGFA/FBXW7/NRG1/KIT/IL31RA/FGFR3/CD36/NTF3/HBEGF
C1,Down,GO_BP,GO:1903076,regulation of protein localization to plasma membrane,13/622,114/16355,3.9223039630839786e-4,0.0495844592666533,0.04776723978434144,13,ZDHHC5/PKP1/AGR2/LDLRAP1/PPFIA1/WNK1/PID1/ARHGAP44/LYPD1/SFN/LGALS3/DPP10/EPHA2
