contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C1,Up,KEGG,hsa04148,Efferocytosis,32/738,155/8021,9.12616408611381e-6,1.3108490232781653e-4,9.693820225441465e-5,32,CAMK2D/GULP1/AXL/CD47/PECAM1/PPARG/ANO6/ATP11A/PROS1/SIRPA/STAB1/GAS6/ELMO1/PTGER4/C1QB/ATP8A1/SLC16A1/PTGER2/C1QC/C1QA/NFATC1/ABCA1/SCARF1/MFGE8/ALOX5/HAVCR2/S1PR1/NFATC4/CH25H/THBS1/DUSP4/P2RY12
C1,Up,KEGG,hsa04810,Regulation of actin cytoskeleton,42/738,230/8021,1.0333476069295836e-5,1.419729755607602e-4,1.0499000857591194e-4,42,CXCL12/PDGFC/PDGFRA/PDGFRB/PDGFD/AKT3/MYL9/PIK3R3/MYLK/RAC2/F2R/ITGA8/ITGA1/CFL2/ITGA4/C7/LPAR1/MSN/PIK3R1/ENAH/FN1/ITGA10/ITGA7/ARPC1B/PAK3/ITGAM/RRAS/ITGB2/MRAS/FGFR1/MYH11/FGF2/ACTN1/MYH10/RGCC/GNA12/CXCR4/ITGA9/FGF18/ITGA5/IQGAP2/FGF5
C1,Up,KEGG,hsa04926,Relaxin signaling pathway,27/738,128/8021,3.031360290716645e-5,3.9912910494435824e-4,2.9515876514872596e-4,27,GNB4/MMP2/PRKACB/TGFBR2/COL3A1/COL4A1/SHC1/ADCY3/COL4A2/VEGFC/COL1A1/AKT3/ACTA2/PIK3R3/GNG11/ADCY9/ADCY7/SHC3/MMP1/GNG2/COL1A2/CREB5/PIK3R1/ADCY4/ADCY2/TGFBR1/PRKCA
C1,Up,KEGG,hsa05205,Proteoglycans in cancer,36/738,199/8021,5.417013573246583e-5,6.847105156583682e-4,5.063482161097859e-4,36,MMP2/PRKACB/COL1A1/TLR4/WNT2B/CAMK2D/AKT3/PIK3R3/FZD7/TWIST1/FZD4/GPC3/HSPG2/COL1A2/ANK2/MSN/PIK3R1/TIMP3/FN1/HCLS1/RRAS/MRAS/FGFR1/SDC2/FGF2/FZD1/FLNA/IGF1/HOXD10/LUM/PRKCA/ITGA5/IGF2/DCN/THBS1/WNT5A
C1,Up,KEGG,hsa04670,Leukocyte transendothelial migration,24/738,112/8021,6.356192489967193e-5,7.725218564729357e-4,5.712853169120312e-4,24,MMP2/CXCL12/JAM2/JAM3/MYL9/VCAM1/PIK3R3/ICAM1/RAC2/PECAM1/ITGA4/MSN/PIK3R1/CLDN5/CLDN11/ITGAM/ITGB2/ACTN1/CD99L2/CXCR4/CYBB/PRKCA/CDH5/THY1
C1,Up,KEGG,hsa04014,Ras signaling pathway,40/738,234/8021,7.97025122086611e-5,9.328145873309966e-4,6.898229126831487e-4,40,GNB4/PRKACB/PDGFC/ETS1/SHC1/PDGFRA/VEGFC/PDGFRB/FLT1/PDGFD/AKT3/RGL1/CSF1/PIK3R3/GNG11/RAC2/ANGPT1/SHC3/TEK/GNG2/ABL1/PIK3R1/PLA2G4C/PGF/PAK3/RRAS/MRAS/FGFR1/PLA2G2A/ANGPT2/FGF2/RASGRP3/RASA3/IGF1/FGF18/PRKCA/IGF2/PLA2G5/PLD1/FGF5
C1,Up,KEGG,hsa04350,TGF-beta signaling pathway,23/738,108/8021,9.935255235174818e-5,0.001121264519398301,8.291829557175976e-4,23,TGFBR2/FBN1/BMP4/EMP3/LRRC32/GREM2/THSD4/BMP2/ID3/FMOD/SMAD6/ID4/TGFB3/HFE/PITX2/FST/SMAD9/ID2/INHBA/INHBB/TGFBR1/DCN/THBS1
C1,Up,KEGG,hsa04611,Platelet activation,25/738,124/8021,1.2829833075054075e-4,0.0013980093971438232,0.00103383772873394,25,PRKACB/GUCY1B1/COL3A1/FYN/ADCY3/COL1A1/AKT3/PIK3R3/GUCY1A1/ADCY9/MYLK/F2R/ADCY7/COL1A2/PIK3R1/PLA2G4C/LYN/LCP2/ADCY4/PRKG1/FCER1G/ADCY2/VWF/FCGR2A/P2RY12
C1,Up,KEGG,hsa05032,Morphine addiction,20/738,91/8021,1.7736288515480045e-4,0.0018682223902972313,0.001381563526468972,20,GNB4/PRKACB/ADCY3/GABRE/GNG11/ADCY9/GRK5/ADCY7/GNG2/GRK3/PDE1A/ADCY4/PDE3A/ADCY2/PDE2A/PRKCA/PDE4B/PDE1C/GABRP/GABRB2
C1,Up,KEGG,hsa04022,cGMP-PKG signaling pathway,30/738,165/8021,2.0349894015725094e-4,0.0020638503978354,0.0015262318065271778,30,GUCY1B1/EDNRA/ADCY3/SLC8A1/MEF2C/AKT3/MYL9/GUCY1A1/ADCY9/NPR2/MYLK/ADCY7/PDE5A/AGTR1/PLN/CREB5/IRS1/IRAG1/KCNJ8/ADCY4/ADRA2A/PDE3A/PRKG1/ATP1A2/NFATC1/ADCY2/PDE2A/GNA12/NFATC4/ADORA3
C1,Up,KEGG,hsa05410,Hypertrophic cardiomyopathy,21/738,99/8021,2.089975086415595e-4,0.0020638503978354,0.0015262318065271778,21,LAMA2/CACNA2D1/SGCE/SLC8A1/TPM2/ITGA8/ITGA1/SGCD/ITGA4/SNTB1/ITGA10/TGFB3/ITGA7/SNTB2/IL6/TPM1/ITGA9/IGF1/DTNA/ITGA5/SGCB
C1,Up,KEGG,hsa05416,Viral myocarditis,16/738,69/8021,4.0866706664490106e-4,0.003913296759387537,0.0028939103283945147,16,FYN/LAMA2/SGCE/ICAM1/RAC2/SGCD/ABL1/SNTB1/ITGB2/SNTB2/CD86/DTNA/HLA-DPB1/SGCB/HLA-DMA/HLA-DRB3
C1,Up,KEGG,hsa05133,Pertussis,17/738,77/8021,5.03731801663284e-4,0.004681742627223464,0.003462181423196565,17,SERPING1/C1S/C1R/C3/TLR4/LY96/CFL2/ITGAM/ITGB2/IL6/C1QB/C1QC/C1QA/CXCL8/CXCL6/CD14/ITGA5
C1,Up,KEGG,hsa05206,MicroRNAs in cancer,31/738,183/8021,5.817634127071485e-4,0.005180743028989424,0.003831195710978188,31,SHC1/PDGFRA/CCND2/ZEB1/ZEB2/ZFPM2/MIR224/DDIT4/TNC/PDGFRB/RECK/E2F3/TNXB/PIK3R3/ABCB1/NOTCH2/ABL1/VIM/IRS1/BCL2/CYP1B1/PIK3R1/TIMP3/TPM1/ABCC1/TNN/HOXD10/STMN1/PRKCA/ITGA5/THBS1
C1,Up,KEGG,hsa01521,EGFR tyrosine kinase inhibitor resistance,17/738,78/8021,5.902112311506938e-4,0.005180743028989424,0.003831195710978188,17,PDGFC/SHC1/PDGFRA/PDGFRB/PDGFD/AKT3/AXL/PIK3R3/SHC3/BCL2/PIK3R1/FOXO3/GAS6/IL6/FGF2/IGF1/PRKCA
C1,Up,KEGG,hsa05163,Human cytomegalovirus infection,36/738,224/8021,6.106235568112254e-4,0.0052150552419553305,0.0038565698324919497,36,GNB4/PRKACB/CXCL12/IL1R1/ADCY3/PDGFRA/E2F3/AKT3/PIK3R3/GNG11/ADCY9/RAC2/STING1/ADCY7/GNG2/CREB5/TRAF5/PIK3R1/ADCY4/PTGER4/IL6/PTGER2/IL10RA/NFATC1/CCL5/ADCY2/GNA12/CXCR4/CCL2/CXCL8/NFATC4/PRKCA/CCR1/CCL3/CCL3L1/CCL3L3
