contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C1,Limbus vs cornea,ELK4,-4.420837019214584,9.83193112684292e-6,20,2.8050755525760943e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,DZIP1,4.420830592311539,9.832223586349196e-6,160,2.8050755525760943e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZIK1,-4.410366785600523,1.0319567481146617e-5,33,2.915528288362782e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TET3,-4.401787152853046,1.0736285450380503e-5,139,3.004095255827621e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,KLF3,-4.354097351592641,1.336163230015208e-5,78,3.677443501683696e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,E2F2,-4.353542704177991,1.3395498665926866e-5,41,3.677443501683696e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,MBD1,-4.337135063421834,1.4435192852077635e-5,98,3.925832822387469e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,IKZF1,4.333402227036651,1.4682250275492689e-5,335,3.94345844269351e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF136,-4.332075454067958,1.4771029905621736e-5,75,3.94345844269351e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,DACH1,4.324571174702675,1.528288568281655e-5,198,4.043017939726924e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,MSANTD3,4.320816701438014,1.5545276786085853e-5,269,4.0753833736495344e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TFAP2B,4.310513492389009,1.6287589018034666e-5,11,4.2318646466500784e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,DBP,-4.298018654893138,1.723316623824071e-5,19,4.437921571086767e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,BNC1,-4.2900075530847825,1.7866704169573855e-5,19,4.5607113274964846e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
