contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C3,Limbus vs cultured limbal epithelial cells,HMBOX1,4.000602522462091,6.318140642501211e-5,14,3.752201891771127e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,CREB5,3.9949905536404002,6.469683246466595e-5,316,3.7653556494435584e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZBTB16,3.981267726236418,6.85486862595109e-5,24,3.9113073924544454e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,HIVEP3,3.9743549076264024,7.057026641668497e-5,133,3.949220678318332e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,NFIL3,3.950585227082203,7.796032975241345e-5,37,4.2804633882928897e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,NR4A1,3.939884182678545,8.152095558570667e-5,175,4.3930737176741926e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,AR,3.9149124762784226,9.043700799908488e-5,50,4.7056796120436645e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF134,-3.9145951201088183,9.055603377128701e-5,87,4.7056796120436645e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,AEBP1,3.900713993936173,9.590940504996261e-5,241,4.896427520971776e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,NFIX,3.890280344105667,1.0012847734013663e-4,276,5.023687397582718e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,STAT2,3.8776207890321173,1.054829608514873e-4,148,5.062424202997381e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,NR1D1,3.87674482773303,1.0586328085810106e-4,177,5.062424202997381e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,SOX2,3.87615626731131,1.0611954514874236e-4,75,5.062424202997381e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZBED2,-3.865548746720862,1.1083970732216557e-4,51,5.202315295282287e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,TWIST1,3.857959167529487,1.14337743270015e-4,150,5.281314808186406e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,PLAGL1,3.8415400313625203,1.222647909473272e-4,388,5.559227213386284e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,SP5,3.8366111234446407,1.2474376462405303e-4,12,5.584682385476836e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,IRX5,3.814828182973053,1.3627771836652476e-4,303,6.008608491614956e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,FOXO3,3.7987652416682667,1.4541874953290717e-4,35,6.265230432119582e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,TSC22D1,3.7970910766959163,1.4640401009763973e-4,20,6.265230432119582e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF703,3.7875325809818383,1.5215073854206416e-4,349,6.41679201677401e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,NFATC2,3.763066735467604,1.6784238911986496e-4,65,6.925921300602714e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ALX1,3.7613733785323045,1.6898295956796998e-4,14,6.925921300602714e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,SOX8,3.7507665409304796,1.7629478859039493e-4,11,7.125247705528462e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,THRB,3.718525013121253,2.0038945244387244e-4,267,7.977811857535217e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,OSR2,3.715412836588254,2.0287219156618765e-4,537,7.977811857535217e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,MBD6,3.7074825254718236,2.0932985609601023e-4,36,8.100164349373604e-4,Activated in limbus,NES = regulon activity; not transcript abundance
