contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C2,Limbus vs conjunctiva,HIC1,1.7119907861389143,0.08689836646466971,12,0.24601000859821687,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,FOXN2,1.7110292816162362,0.08707570751070906,103,0.24601000859821687,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZSCAN20,-1.686932939736704,0.09161624737992317,24,0.25634930757266966,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF777,-1.6758075222788973,0.09377590023695852,30,0.2598932092281422,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,E2F8,-1.6532103175129467,0.09828806739578791,141,0.26889261821724963,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZFP64,1.6503509901108466,0.09887116889775158,157,0.26889261821724963,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,HOXD10,-1.6414508924107354,0.10070385295054121,168,0.27134093711673607,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,IKZF5,1.618015819518695,0.10565918846301078,127,0.28008291438391586,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,DZIP1,1.6170232301092946,0.10587326660560394,160,0.28008291438391586,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,HMGA2,-1.6014024753233478,0.10928780485188887,68,0.2854030519490222,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,NFIC,1.5988863922357783,0.10984584817281956,20,0.2854030519490222,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ETS2,-1.5847082817320193,0.11303262935794343,10,0.28807735331808304,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF461,-1.5832028170232888,0.11337524461043853,97,0.28807735331808304,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,HOXD8,-1.5811444987404477,0.11384500217037646,284,0.28807735331808304,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,OSR2,-1.5628167335106307,0.11809570713745449,537,0.2958154717757295,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,MAFB,1.5553778730240295,0.11985610074108846,101,0.2958154717757295,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF780A,-1.5549723043146613,0.11995266553105181,120,0.2958154717757295,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF324,1.5470221494503353,0.12185790471845313,39,0.2979886577568896,Activated in limbus,NES = regulon activity; not transcript abundance
