Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,status,contrast
NFATC1,1.0847415445591615,6.109758877100241,3.886085981613318,0.0014104742294443909,0.019235923456245026,-1.1356677095697583,Up,C3
PLAC9,1.278886372317853,8.227560953845803,3.8845547517819687,0.0014149355931869453,0.01927428155940582,-1.138743624785148,Up,C3
RGCC,1.9889478967771002,7.331774284299548,3.8767795043146056,0.001437810493662851,0.019431490691945805,-1.1543629679386171,Up,C3
MYLK,2.068457459891806,6.307768133230336,3.87281059771251,0.001449630808456536,0.019547212732906615,-1.1623362481130455,Up,C3
ALDH4A1,1.0236247090092823,5.71104009140178,3.862422572125011,0.001481035737032523,0.019870217864871222,-1.1832060858018814,Up,C3
ANKRD44,1.13400159007539,5.235784865364089,3.8615672523056666,0.0014836519596328637,0.019883090081020658,-1.1849245058324875,Up,C3
LPL,2.085093631881154,4.459426415210432,3.852334966175694,0.0015121902887737793,0.02017183777575178,-1.2034735789270261,Up,C3
ALDH3A1,1.8936265299310264,12.379490444288342,3.8483253108547126,0.001524756813111769,0.020297955090576084,-1.2115298675145967,Up,C3
XM_005256525,1.8936265299310264,12.379490444288342,3.8483253108547126,0.001524756813111769,0.020297955090576084,-1.2115298675145967,Up,C3
SCUBE2,1.6789432159923896,6.4053047011720885,3.842539310404734,0.0015430766705670832,0.020473701629049823,-1.22315550000385,Up,C3
MGP,3.455881348458309,10.632467762984925,3.8353810948410736,0.0015660492096632357,0.02072070488036148,-1.2375386889549294,Up,C3
RNASE4,1.357743942942963,7.698315730203971,3.835126458257139,0.0015668727338495163,0.02072070488036148,-1.238050344568185,Up,C3
FGL2,2.430939690820738,6.235164724990566,3.8292568382247913,0.0015859774360338207,0.020881311255997678,-1.2498446373742285,Up,C3
NXF1,1.0321114492640096,8.632827480703158,3.824462960845407,0.001601755104313138,0.021019861133802043,-1.2594775338365238,Up,C3
XM_006718418,1.0321114492640096,8.632827480703158,3.824462960845407,0.001601755104313138,0.021019861133802043,-1.2594775338365238,Up,C3
HSPA12B,1.1542565010630215,5.540745534967684,3.8216071326864167,0.0016112294478527684,0.02102921653472656,-1.2652161513703266,Up,C3
XM_005260657,1.1542565010630215,5.540745534967684,3.8216071326864167,0.0016112294478527684,0.02102921653472656,-1.2652161513703266,Up,C3
XM_005260658,1.1542565010630215,5.540745534967684,3.8216071326864167,0.0016112294478527684,0.02102921653472656,-1.2652161513703266,Up,C3
CH25H,1.834061535817309,7.120013326584082,3.818830915325645,0.001620493895788891,0.02110422923859195,-1.2707948413140375,Up,C3
APOL3,1.2412210580267962,6.642584539371805,3.8137065558653815,0.0016377357049950987,0.02121171776242791,-1.281092129771336,Up,C3
XM_006724322,1.2412210580267962,6.642584539371805,3.8137065558653815,0.0016377357049950987,0.02121171776242791,-1.281092129771336,Up,C3
XM_006724323,1.2412210580267962,6.642584539371805,3.8137065558653815,0.0016377357049950987,0.02121171776242791,-1.281092129771336,Up,C3
