Symbol,C1_logFC,C1_adj.P.Val,C1_status,C2_logFC,C2_adj.P.Val,C2_status,C3_logFC,C3_adj.P.Val,C3_status,n_up,module,is_predicted
HACD1,2.1115889518766044,4.8719760992400006e-8,Up,0.845366817129344,0.028330309977319022,Up,1.4266040456532068,1.3113013913325296e-4,Up,3,CORE - all 3 contrasts,FALSE
SHC3,2.0257366541981714,5.57963558867681e-5,Up,2.1966970327693733,0.005550402635428103,Up,1.6106117459206102,0.004931043250813331,Up,3,CORE - all 3 contrasts,FALSE
BMP4,2.0041777169721673,5.427261429561479e-6,Up,1.213504047198307,0.037601959330208046,Up,1.7029529407331943,6.269924517682951e-4,Up,3,CORE - all 3 contrasts,FALSE
GRP,1.9648826740372884,0.010223828020141552,Up,5.0052134314460375,0.0017101477124057422,Up,2.9939219035429465,0.007554365158138351,Up,3,CORE - all 3 contrasts,FALSE
PRR16,1.905241983735955,5.675183532879384e-8,Up,1.7484077298156677,2.9335670163350523e-5,Up,1.8803334634009632,3.6936198020197318e-6,Up,3,CORE - all 3 contrasts,FALSE
CEP126,1.8334782190754755,7.235801738858416e-6,Up,1.1652786748535195,0.03693409374694149,Up,1.7081800168901742,5.085934599368786e-4,Up,3,CORE - all 3 contrasts,FALSE
ITGBL1,1.8104591791982703,0.021344474328465337,Up,3.561049498654114,0.030354325138196806,Up,2.738330104474402,0.016524897248325506,Up,3,CORE - all 3 contrasts,FALSE
ITGA10,1.643097391432204,3.6214442876626593e-4,Up,2.679640852310234,0.0012289918146469168,Up,1.5182366617776797,0.0077222996413732654,Up,3,CORE - all 3 contrasts,FALSE
ABI3BP,1.608459798582773,1.571658212687981e-4,Up,1.9198901406986497,0.006326515352543238,Up,3.3201432292423068,1.1694771096029835e-5,Up,3,CORE - all 3 contrasts,FALSE
COL8A2,1.5979357639426013,0.025995819251286134,Up,3.199500147778595,0.03243088929809399,Up,2.2339354689074673,0.02936229994439689,Up,3,CORE - all 3 contrasts,FALSE
CCDC102B,1.585455810851374,1.3968147826765685e-4,Up,1.31253049880337,0.04939826513770367,Up,1.6221481087975915,0.0019891151089608725,Up,3,CORE - all 3 contrasts,FALSE
COL8A1,1.5618423472201357,0.02987639100191065,Up,3.8309066611366616,0.012834335852984,Up,2.1784586098576177,0.03350506753956789,Up,3,CORE - all 3 contrasts,FALSE
SOD3,1.5466076726286255,2.482561942291796e-4,Up,1.482949067375836,0.03375412315867473,Up,1.750342782683994,0.0016677629173853928,Up,3,CORE - all 3 contrasts,FALSE
THBS4,1.3600098746971607,5.096032772061768e-4,Up,2.836502185835295,2.1657101127018323e-4,Up,1.4451624294804617,0.004518312103818611,Up,3,CORE - all 3 contrasts,FALSE
POU3F3,1.307768669289258,0.002937115318526342,Up,2.7635071701314997,0.0016049883939527527,Up,1.8190252259673043,0.0039103201141195455,Up,3,CORE - all 3 contrasts,FALSE
LRRC3B,1.1310694401722503,0.0023988624127416836,Up,1.8688422344829432,0.009472800294270297,Up,1.2885999762779128,0.010449149875334346,Up,3,CORE - all 3 contrasts,FALSE
C14orf132,1.077939062165287,0.0024369264568855128,Up,1.6026732218879332,0.017578831368199665,Up,1.5777710532393137,0.0024238079375671732,Up,3,CORE - all 3 contrasts,FALSE
